epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0425,1.77341,4.43648,2.20169,0,0,0,0,nan,nan,nan,0.0706977,0.00325581,0.00325581
2,81.6916,1.26576,1.20851,1.72172,0,0,0,0,nan,nan,nan,0.0406575,0.00654899,0.00654899
3,123.144,1.03944,0.90742,1.49527,0.70819,0.19527,0.23241,0.15702,2.5122,3.08452,4.57269,0.0104573,0.00968209,0.00968209
4,164.999,0.82815,0.71443,1.30866,0.90577,0.91716,0.96799,0.69287,1.02391,1.51121,1.85679,0.00946048,0.00946048,0.00946048
5,205.989,0.74569,0.62473,1.22912,0.95868,0.78107,0.9421,0.75515,0.72919,1.25842,1.39627,0.00905463,0.00905463,0.00905463
6,247.677,0.71261,0.56761,1.201,0.97368,0.79882,0.92036,0.79737,0.66179,1.6809,1.23059,0.00855018,0.00855018,0.00855018
7,288.679,0.60893,0.5009,1.12193,0.87673,0.73373,0.87113,0.70128,0.79266,1.24866,1.65839,0.00795954,0.00795954,0.00795954
8,330.396,0.58576,0.48852,1.10332,0.98243,0.99408,0.995,0.92641,0.37889,0.4715,0.9445,0.00729725,0.00729725,0.00729725
9,371.371,0.54622,0.44447,1.07692,1,0.99593,0.995,0.9364,0.37426,0.3782,0.92492,0.00657963,0.00657963,0.00657963
10,413.157,0.50308,0.4191,1.05581,0.99304,1,0.99459,0.93697,0.33918,0.32688,0.91239,0.00582435,0.00582435,0.00582435
11,455.632,0.3518,0.32015,0.94024,0.99205,0.98817,0.99488,0.93073,0.368,0.33355,0.92884,0.00505,0.00505,0.00505
12,495.977,0.33645,0.30228,0.93131,0.89837,0.88166,0.94262,0.83247,0.53952,0.60253,1.17638,0.00427565,0.00427565,0.00427565
13,535.482,0.32517,0.27621,0.91994,0.99316,0.95858,0.99003,0.91443,0.39929,0.30909,0.97513,0.00352037,0.00352037,0.00352037
14,575.791,0.28825,0.24677,0.89436,0.99926,1,0.995,0.96583,0.29514,0.22933,0.87585,0.00280275,0.00280275,0.00280275
15,615.341,0.27978,0.23573,0.88403,0.99383,1,0.995,0.9799,0.266,0.22294,0.8586,0.00214046,0.00214046,0.00214046
16,655.705,0.26966,0.22605,0.87082,0.99387,1,0.995,0.96071,0.29954,0.21956,0.86202,0.00154982,0.00154982,0.00154982
17,695.323,0.26253,0.21547,0.87741,0.99958,1,0.995,0.98034,0.22599,0.17392,0.83784,0.00104537,0.00104537,0.00104537
18,735.486,0.23719,0.19412,0.86773,0.99908,1,0.995,0.98011,0.22122,0.16937,0.83432,0.000639518,0.000639518,0.000639518
19,774.714,0.22893,0.1857,0.86176,0.9995,1,0.995,0.9784,0.23517,0.1612,0.8399,0.00034227,0.00034227,0.00034227
20,814.719,0.22687,0.18361,0.85642,0.99959,1,0.995,0.98149,0.22459,0.15346,0.83745,0.000160943,0.000160943,0.000160943
