               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.55669,              1.2093,              1.2548,             0.98242,             0.99196,             0.99051,             0.97042,                   0,                   0,                   0,            0.070353,           0.0032941,           0.0032941
                   1,             0.49673,             0.44741,              1.1729,             0.99745,             0.99408,               0.995,             0.96628,                   0,                   0,                   0,            0.040025,           0.0062994,           0.0062994
                   2,             0.56172,             0.52464,              1.2082,               0.994,             0.98077,             0.99435,              0.9375,                   0,                   0,                   0,           0.0093668,           0.0089747,           0.0089747
                   3,             0.58724,             0.51519,              1.2186,             0.98357,             0.99408,             0.99494,             0.95382,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   4,             0.56212,             0.44909,              1.2262,             0.98809,             0.98198,             0.99313,             0.88727,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   5,             0.54624,             0.44345,              1.2112,              0.9931,             0.99408,             0.99423,             0.95397,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.54947,             0.43283,              1.2253,             0.98829,             0.99862,             0.99459,             0.95985,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.53194,             0.42032,              1.2063,             0.99534,             0.98817,             0.99488,             0.95998,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   8,             0.50508,             0.38997,              1.1942,             0.99121,             0.98817,             0.99466,             0.96343,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                   9,             0.49092,             0.38423,              1.1837,             0.99337,                   1,             0.99494,             0.96429,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  10,             0.47684,             0.36895,              1.1782,             0.99284,                   1,               0.995,             0.96532,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,             0.45638,             0.34645,              1.1688,             0.98809,             0.98174,             0.99447,             0.95267,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.45273,             0.34313,              1.1603,             0.99442,                   1,               0.995,             0.97838,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,               0.435,             0.32215,              1.1615,             0.98778,                   1,             0.99494,             0.97527,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,              0.4277,             0.32144,              1.1522,             0.98733,                   1,             0.99459,             0.98323,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,              0.4118,             0.30807,              1.1513,             0.98646,                   1,               0.995,             0.98246,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.40901,             0.30042,              1.1439,             0.98802,                   1,             0.99482,             0.98131,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,             0.39958,             0.28437,              1.1373,             0.99265,                   1,               0.995,             0.98067,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,             0.37862,             0.26908,              1.1311,             0.99268,                   1,               0.995,             0.98171,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.37186,             0.26132,              1.1332,             0.99352,                   1,               0.995,             0.98154,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
